Schneider Electric Infrastructure Ltd. ,0.00
Sequent Scientific Ltd. ,7.99
Sheela Foam Ltd. ,10.71
Shilpa Medicare Ltd. ,2.63
Shipping Corporation of India Ltd. ,0.53
Shoppers Stop Ltd. ,6.39
Shree Cements Ltd. ,7.85
Shriram City Union Finance Ltd. ,1.31
Shriram Transport Finance Corporation Ltd. ,1.91
Siemens Ltd. ,6.89
SIS Ltd. ,4.71
SJVN Ltd. ,0.91
SKF India Ltd. ,0.00
Sobha Ltd. ,1.78
Solar Industries India Ltd. ,8.03
Sonata Software Ltd. ,6.23
South Indian Bank Ltd. ,0.00
SpiceJet Ltd. ,0.00
SRF Ltd. ,5.92
Star Cement Ltd. ,2.12
Sterlite Technologies Ltd. ,3.68
Strides Pharma Science Ltd. ,3.13
Sudarshan Chemical Industries Ltd. ,5.86
SUMITOMO CHEMICAL INDIA LIMITE Ltd. ,12.25
Sun Pharmaceutical Industries Ltd. ,3.07
Sun Pharma Advanced Research Company Ltd. ,0.00
Sun TV Network Ltd. ,3.56
Sundram Fasteners Ltd. ,6.83
Sunteck Realty Ltd. ,1.85
Suprajit Engineering Ltd. ,4.18
Supreme Industries Ltd. ,10.90
Suzlon Energy Ltd. ,0.00
Swan Energy Ltd. ,2.43
Symphony Ltd. ,11.50
Syngene International Ltd. ,10.91
Tanla Platforms Ltd. ,15.04
Tasty Bite Eatables Ltd. ,0.00
Tata Chemicals Ltd. ,1.08
Tata Coffee Ltd. ,1.22
Tata Communications Ltd. ,0.00
TATA Consumer Products Ltd. ,3.87
Tata Elxsi Ltd. ,31.77
Tata Investment Corporation Ltd. ,0.68
Tata Metaliks Ltd. ,24.53
Tata Motors Ltd. ,1.75
Tata Power Company Ltd. ,1.37
Tata Steel Ltd. ,1.07
TCNS Clothing Co Ltd. ,0.00
Tata Consultancy Services Ltd. ,13.86
TeamLease Services Ltd. ,9.48
Tech Mahindra Ltd. ,4.28
Thermax Ltd. ,4.53
Thyrocare Technologies Ltd. ,13.49
Time Technoplast Ltd. ,0.64
Timken India Ltd. ,0.00
Titan Company Ltd. ,19.62
TATA MOTORS LTD - DVR Ltd. ,0.71
Torrent Pharmaceuticals Ltd. ,9.09
Torrent Power Ltd. ,1.76
Trent Ltd. ,10.52
Trident Ltd. ,2.30
Triveni Turbine Ltd. ,5.97
TTK Prestige Ltd. ,7.85
TV Today Network Ltd. ,1.81
TV18 Broadcast Ltd. ,1.12
TVS Motor Company Ltd. ,8.39
TVS Srichakra Ltd. ,2.12
UCO Bank ,0.00
Uflex Ltd. ,0.56
Ujjivan Financial Services  Ltd. ,0.97
UltraTech Cement Ltd. ,4.81
Union Bank of India ,0.66
United Breweries Ltd. ,9.64
UPL Ltd. ,2.12
V-Guard Industries Ltd. ,9.58
V-Mart Retail Ltd. ,0.00
Vaibhav Global Ltd. ,13.10
Vakrangee Ltd. ,2.41
Vardhman Textiles Ltd. ,0.98
Varroc Engineering Ltd. ,1.74
Varun Beverages Ltd. ,7.83
Vedanta Ltd. ,1.00
Venkys Ltd. ,0.00
Vinati Organics Ltd. ,0.00
VIP Industries Ltd. ,8.81
Vodafone Idea Ltd. ,5.81
Voltas Ltd. ,8.04
VRL Logistics Ltd. ,0.00
VST Industries Ltd. ,0.00
WABCO India Ltd. ,0.00
Welspun Corp Ltd. ,1.02
Welspun India Ltd. ,2.20
Westlife Development Ltd. ,12.44
Whirlpool of India. Ltd. ,12.22
Wipro Ltd. ,4.34
Wockhardt Ltd. ,1.83
Zee Entertainment Enterprises Ltd. ,2.17
Zensar Technologies Ltd. ,2.45
Zydus Wellness Ltd. ,3.14
